env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums,controlGraph,robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,11.1,-1.3,2.24018,0,0,3,,,10.2,1.1,1.1,9.1,0.383333,1.4,9.1,10,10,8.7,1.8,1.1,1.1,2.79778,9.1,10,10,9.17917,5.05111,1.31111,1.17111
open_space,5.8,-1.8,5.39756,0,0,3,,,9.8,10,5.6,1.6,0.319444,10,2.6,1.6,1.6,2.1,5.6,7.2,10,10,4.56,1.89556,1.71111,3.70222,6.00889,8.41667,10
open_space,2.7,-13.7,4.23436,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,8.8,2.6,2.5,6.3,0.177778,5.4,6.3,10,10,8.6,2.8,2.5,2.6,6.09333,7.575,10,10,9.2,4.37778,2.57333,3.45111
open_space,6.2,-0.5,4.56818,1,1,3,0|1|0；0|0|1；0|0|0,0|0；-0.5|0；-1|0,11.8,7.5,0.4,0.5,0.472222,10,10,0.5,0.3,0.3,0.4,1.8,7.5,10,10,1.44,0.348889,0.306667,0.651111,5.92667,8.53529
open_space,1,-19.3,3.6551,0,0,3,,,1.2,0.4,0.8,0.4,0.688889,0.4,0.4,0.5,1.4,10,1.6,0.8,0.8,0.524444,0.4,0.691111,2.98571,10,3.52,1.07333,0.813333
open_space,8.4,-10.9,3.32489,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18.8,8.2,10,8.8,0,8.3,8.8,8.9,10,10,10,10,8.2,8.964,9.10256,9.37895,10,10,10,10,8.64
open_space,6.9,-4.9,4.67174,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,16.7,9.1,6.4,7,0,10,10,7,4.7,4.7,6.4,6.7,9.1,10,10,8.21429,5.39333,5.15778,7.17556,7.35333,9.48333
open_space,2.1,-16.4,0.037448,0,0,3,,,13.3,4.8,2.8,2.6,0.280556,10,10,2.6,1.9,1.9,2.8,3.3,4.8,10,10,4.55556,2.09778,2.14889,3.37333,3.74667,6.60833
open_space,16.4,-15.1,3.13893,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14.6,6.6,4.6,4.6,0,6.6,4.6,4.6,3.3,3.3,4.6,10,10,7.95882,5.18222,4.95333,3.71556,3.67778,6.54074,10,10
open_space,18.7,-0.6,3.67586,0,0,3,,,2.5,1.5,0.4,1,0.677778,10,2,1,0.8,0.4,0.4,0.5,1.5,10,3.952,1.32222,0.98,0.513333,0.402222,0.717778,3.23077
open_space,6.5,-15.4,2.84374,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14.5,6.3,10,4.3,0,6.3,4.5,4.3,4.9,10,10,10,6.6,6.48889,5.84,4.42889,6.54054,10,10,10,7.86471
open_space,5,-17.7,1.80062,0,0,3,,,14.8,5.7,3.7,2.4,0.263889,5.7,4.8,2.4,2,2.1,3.7,10,10,7.24483,5.00222,3.66667,2.07778,2.57556,5.75714,10,10
