env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums, controlGraph, robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,8.8,-7.6,0.577016,0,0,3,,,17.4,7.6,10,7.4,0,7.6,7.4,8.8,8.6,10,10,10,10,8.47667,7.72444,9.32414,8.95,10,10,10,10
open_space,6.6,-17.1,0.0500651,0,0,3,,,12.6,3.9,2.6,8.8,0.158333,10,10,8.8,6.4,3.5,2.6,2.6,3.9,10,10,9.35,7.04444,5.53778,2.85333,2.96889,5.84643
open_space,10.2,-18,3.98172,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.7,1.7,10,1.7,0.308333,1.7,1.7,2.5,9.5,10,10,10,2.3,1.86222,1.94,5.84222,9.69375,10,10,10,4.59268
open_space,6.8,-4.7,2.5871,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.3,4.6,4.5,6.8,0,6.6,6.8,10,10,10,5.3,4.5,4.6,6.88889,7.9,10,10,10,6.97097,4.69111,5.80222
open_space,8.2,-5.5,3.81663,0,0,3,,,16.8,8,5.3,10,0,10,10,10,8.6,5.3,5.3,6.8,8,10,10,10,9.3,6.34667,5.67111,8.33556,8.52273
open_space,5.1,-19.3,2.65474,1,1,3,0|1|0；0|0|1；0|0|0,0|0；-0.5|0；-1|0,10.4,1.3,10,0.4,0.461111,1.3,0.4,0.4,0.4,0.8,10,10,5.6,4.30889,0.677778,0.4,0.528889,1.96923,10,10,7.20303
open_space,8.4,-9.7,5.20808,0,0,3,,,19.3,10,8.2,10,0,10,10,10,9.5,8.6,8.2,9.3,10,10,10,10,9.66111,9.17222,8.45556,9.65,10
open_space,10.8,-5.2,2.50465,0,0,3,,,15,5.1,5,10,0,8.4,10,10,10,8.9,6.3,5,5.1,9.05714,10,10,10,9.19722,8.50698,5.31333,6.07111
open_space,11.5,-18.8,1.71613,0,0,3,,,15,10,1.5,1.1,0.405556,10,6.7,1.1,0.9,0.9,1.5,8.3,10,10,7.9,2.19556,0.951111,1.07778,4.56889,8.94286,10
open_space,16.7,-6.2,2.83589,0,0,3,,,16,6.8,3.4,6.7,0,10,10,6.7,3.2,3,3.4,6,6.8,10,10,8.09,4.20667,3.08444,4.85556,6.17778,8.06667
open_space,6.6,-3,3.59018,0,0,3,,,13.1,6.4,2.8,10,0.102778,7.1,10,10,6.6,3,2.8,3.1,6.4,8.228,10,10,7.94444,4.06444,2.87333,4.52,6.57333
open_space,5.6,-12.3,4.84799,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,15.4,7.4,5.4,10,0,7.5,10,10,10,6.9,5.4,5.4,7.4,8.33429,10,10,10,8.15,5.76444,6.49556,7.88444
open_space,1.6,-13.3,2.55119,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,9.1,1.4,7.7,1.4,0.347222,1.4,1.4,2.5,6.5,10,10,7.7,1.7,1.46444,1.74667,5.11556,7.71,10,10,8.56667,3.02889
open_space,12.4,-17.1,4.18248,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,12.7,2.6,10,2.7,0.158333,2.6,2.7,5.1,7.5,10,10,10,3,2.69556,3.42444,7.09333,8.46207,10,10,10,4.86591
open_space,14.5,-13.5,0.220733,0,0,3,,,15.9,5.2,6.2,9.7,0,5.3,9.7,10,10,7.4,6.2,6.2,5.2,6.65778,9.8,10,10,8.47895,6.48,6.99333,5.42889
open_space,17.9,-8,3.68909,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,12.6,10,7.5,1.9,0.294444,10,3.5,1.9,1.8,2.1,7.5,9.1,10,10,5.6,2.36444,1.86222,3.43778,8.09111,9.5,10
open_space,11.5,-4.6,2.10937,0,0,3,,,14.6,4.4,4.6,10,0,5.1,10,10,10,8.5,8.2,4.6,4.4,6.82353,10,10,10,9.12857,8.48444,5.84222,4.56
open_space,8.5,-8.2,1.07257,0,0,3,,,18.3,8,10,8.3,0,8,8.3,8.3,8.7,10,10,10,9.2,8.27111,9.14231,8.58222,9.19444,10,10,10,9.55
open_space,3.6,-19.6,1.52991,0,0,3,,,4.7,5.1,0.1,0.1,0.494444,5.1,3.4,0.1,0.1,0.1,0.1,1.3,10,6.93478,3.90444,0.573333,0.1,0.1,0.226667,3.96667,10
open_space,15.6,-17.5,1.90376,0,0,3,,,11.3,9.3,4.1,2.5,0.236111,10,7,2.5,2.2,2.3,4.1,4.3,9.3,10,8.16667,3.69333,2.25778,3.10222,4.21556,5.82,9.66667
open_space,11.2,-3.8,5.81972,0,0,3,,,14.1,8.5,10,3.6,0,8.5,4.1,3.6,3.8,8,10,10,9.6,8.75333,6.04667,3.70444,5.04667,8.8,10,10,9.8
open_space,11.8,-3.1,3.36764,0,0,3,,,13,5.4,2.9,9.4,0.0583333,10,10,9.4,7.9,3.5,2.9,3,5.4,10,10,9.7,8.24444,5.54,3.02222,3.72,7.15
open_space,8.8,-12.9,1.67792,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18.6,10,10,8.6,0,10,8.6,8.6,6.8,6.8,10,10,10,10,8.98919,9.20882,7.32667,7.87381,10,10,10
open_space,1.6,-1.7,3.16588,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,3.5,1.4,1.5,2,0.588889,1.4,2,10,10,2.1,1.5,1.5,1.4,1.57111,3.80278,10,10,4.01316,1.66444,1.68,1.55333
open_space,8.4,-17.5,4.72052,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,6.2,2.2,3.1,3.1,0.233333,2.2,3.1,10,10,10,8.2,3.1,2.2,2.46222,5.16061,10,10,10,8.75714,5.93778,2.46222
open_space,9.2,-2.6,5.68679,0,0,3,,,12.9,10,9.2,2.4,0.2,10,2.9,2.4,2.4,4.2,9.2,10,10,10,4.86429,2.52,2.99333,7.71333,9.525,10,10
open_space,5.5,-0.4,2.09531,1,1,3,0|1|1；0|0|0；0|0|0,0|0；1|0；2|0,0.8,0.2,0.2,0.6,0.483333,0.2,0.6,6.1,10,10,0.4,0.2,0.2,0.326667,4.27778,7.5931,10,10,1.21034,0.242222,0.2
open_space,19.4,-2.9,1.62536,1,1,3,0|1|0；0|0|1；0|0|0,0|0；-0.5|0；-1|0,4.3,0.4,0.3,4,0.552778,2.7,4,10,6.8,0.4,0.3,0.3,0.4,3.09333,5.98519,10,6.8,0.986667,0.32,0.331111,1.19556
open_space,9.1,-1.6,5.69667,0,0,3,,,11.7,7.5,9.1,1.4,0.344444,7.5,1.7,1.4,1.4,2.5,9.1,10,10,8.36667,2.99778,1.46444,1.74889,6.32444,9.47059,10,10
open_space,18,-5.7,2.77865,0,0,3,,,14.7,6,1.9,4.2,0.308333,10,10,4.2,1.8,1.7,1.9,4.7,6,10,10,6.15714,2.53111,1.73778,2.66444,5.57556,7.43939
open_space,10.1,-9.1,3.85423,0,0,3,,,19.9,9.9,8.9,9.6,0,10,10,9.6,9.6,8.9,8.9,9.9,9.9,10,10,9.80769,9.70909,9.33913,9.20312,9.98,9.93333
open_space,2.5,-7,5.67326,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,12.4,10,2.3,6.8,0.219444,10,8.4,6.8,2.8,2.3,2.3,4,10,10,9.1,7.17778,4.73333,2.42222,2.83778,5.9,10
open_space,9.7,-18.1,6.01249,0,0,3,,,11.6,1.8,1.6,10,0.322222,5.8,10,10,9.9,3.3,1.7,1.6,1.8,9.03158,10,10,9.96667,7.7,2.16222,1.64889,2.87556
open_space,14.8,-13.4,3.1271,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,16.3,9.2,6.8,6.3,0,9.2,6.3,6.3,4.9,4.9,6.8,10,10,9.54,7.14667,6.88222,5.55556,5.43778,8.08235,10,10
open_space,1.9,-16.2,5.00186,0,0,3,,,9.1,3.5,1.7,7.3,0.305556,3.6,7.3,10,6.2,1.9,1.7,1.8,3.5,4.75778,8.47778,10,7.82857,3.05111,1.74889,2.3,3.59111
open_space,14.8,-6.6,6.01488,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,15.6,4.9,10,5.6,0,4.9,5.6,6.4,7.4,10,10,10,5.1,5.06444,6.88,6.61778,8.41905,10,10,10,6.64444
open_space,5.8,-17.9,2.42478,0,0,3,,,12.4,5.6,10,1.8,0.291667,5.6,2.4,1.8,1.8,2.7,10,10,7.5,6.11778,4.20889,1.96222,2.07333,4.6129,10,10,8.60667
open_space,3,-12.2,3.84257,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,10.3,2.8,2.8,7.5,0.102778,3.6,7.5,9.8,10,10,4.4,2.8,2.8,5.97778,8.1,9.85,10,10,6.375,3.29111,3.01778
open_space,7,-5.7,1.17958,0,0,3,,,16,5.5,10,6,0,5.5,6,6.8,7.4,10,10,10,6,5.64222,7.33556,6.98222,8.384,10,10,10,7.42353
open_space,16.9,-17.6,2.1503,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,7.2,10,2.8,2.2,0.352778,10,3.9,2.2,2.1,2.5,2.8,3.3,10,10,5.9381,2.68444,2.18444,3.01556,2.91778,5.19756,10
open_space,9.8,-7.2,6.21745,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,17,9.9,10,7,0,9.9,7,7,9.3,9.6,10,10,9.9,9.92857,7.99048,7.61556,9.72778,9.72273,10,10,9.98333
open_space,12.6,-18.7,3.13734,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11,1.4,10,1,0.394444,1.4,1,1,1.4,7.1,10,10,10,3.08974,1.12,1.10667,3.36667,7.91111,10,10,10
open_space,10.1,-10.2,1.63831,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,19.5,10,9.6,9.9,0,10,9.9,9.9,9.5,9.5,9.6,9.6,10,10,9.93077,9.97143,9.64091,9.7125,9.72857,9.77857,10
open_space,10.4,-7.1,4.44547,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,19.7,10,7.9,9.3,0,10,9.7,9.3,7.2,6.9,7.9,10,10,10,9.85714,9.48947,8.24839,7.13556,8.85,10,10
open_space,5.9,-19.4,6.01968,0,0,3,,,10.3,0.3,0.3,10,0.472222,1,10,10,5.9,0.6,0.3,0.3,0.3,2.37143,10,10,7.3025,3.14222,0.382222,0.3,0.513333
open_space,19.4,-14.5,1.11811,0,0,3,,,10.3,0.3,0.3,10,0.472222,0.6,10,10,5.8,0.9,0.3,0.3,0.3,1.724,10,10,7.37576,4.11333,0.471111,0.3,0.402222
open_space,9,-14.6,4.48001,0,0,3,,,14.8,5.1,8.8,6,0,5.1,6,10,10,10,9.1,8.8,5.3,5.3,7.44643,10,10,10,9.48,9.11591,6.69111
open_space,1.9,-0.3,0.691763,0,0,3,,,10.1,0.1,10,0.1,0.65,0.1,0.1,0.1,0.6,2.2,10,10,0.1,0.1,0.1,0.184444,1.75111,3.98537,10,10,0.423077
