Wall time,Step,Value
1777277918.6764703,0,0.0
1777277938.3864138,2,0.0
1777277944.4046748,3,0.0
1777277949.2043188,4,0.0
1777277991.1487997,10,0.0
1777277995.0529492,11,0.0
1777278018.5352151,14,0.0
1777278030.727232,15,0.0
1777278045.8020494,18,0.0
1777278049.9356549,19,0.0
1777278052.4763322,20,0.0
1777278059.2455869,22,0.0
1777278062.099512,23,0.0
1777278083.2731931,26,0.0
1777278087.0214956,27,0.0
1777278094.2142112,29,0.0
1777278112.3671577,33,0.0
1777278122.4449248,34,0.0
1777278142.3496165,36,0.0
1777278146.6844573,37,0.0
1777278153.714792,38,0.0
1777278159.063471,39,7.621243476867676
1777278179.6723192,40,32.03609848022461
1777278248.2634416,47,65.56329345703125
1777278254.1890802,48,70.21881103515625
1777278255.7130919,49,73.50108337402344
1777278325.0359101,50,74.70903015136719
1777278331.947354,51,75.11893463134766
1777278335.187276,52,74.9317855834961
1777278345.69625,54,76.7289047241211
1777278346.6266494,55,78.1044692993164
1777278359.1894798,57,85.06732177734375
1777278375.7239368,60,87.64581298828125
1777278392.5210545,61,90.83869171142578
1777278396.476444,62,94.0937271118164
1777278401.3403583,63,97.01934051513672
1777278433.6602466,65,106.00341033935547
1777278455.561297,66,121.02362823486328
1777278467.8608527,67,127.70346069335938
1777278472.3098478,68,129.3132781982422
1777278478.129696,70,130.94346618652344
1777278479.8920226,71,134.91720581054688
1777278493.1694624,73,135.73410034179688
1777278506.97302,75,144.20574951171875
1777278515.7444434,77,150.09170532226562
1777278529.1246793,79,147.8044891357422
1777278532.0549421,80,150.56610107421875
1777278545.660631,82,153.7912139892578
1777278575.0485108,83,163.5884246826172
1777278597.7581573,85,184.6468505859375
1777278609.7572212,86,179.73623657226562
1777278631.9483838,89,196.43463134765625
1777278635.1621814,90,195.89991760253906
1777278707.281927,95,217.10769653320312
1777278750.1083894,99,240.32159423828125
1777279019.470086,100,238.90975952148438
1777279060.2281277,103,243.9365997314453
1777279095.0190194,106,255.4132537841797
1777279099.0486197,107,254.55813598632812
1777279106.1105072,109,250.7766571044922
1777279117.547872,110,259.63616943359375
1777279156.3613036,114,267.6893615722656
1777279167.1604815,116,266.6492614746094
1777279210.9312901,121,276.7547912597656
1777279239.585163,125,280.7532653808594
1777279251.7214713,126,287.72161865234375
1777279271.39938,128,286.1461181640625
1777279282.148744,129,289.4711608886719
1777279288.318741,130,288.8177185058594
1777279293.5499575,131,288.1516418457031
1777279299.6602905,132,290.552490234375
1777279321.8173642,134,281.3387756347656
