env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,18.3,-15.7,1.8191,1,0,7.4,0,4.15556,1.4,0.347222,10,10,4.7,4,1.6,1.4,1.4,2.7,10,10,6.41714,4.15556,2.61778,1.44667,1.82222,4.825
open_space,18.1,-19,4.1039,1,1,2.1,0,1.2,1.54889,0.625,0.7,0.7,1.2,1.6,2.8,10,4.1,0.9,0.731111,0.853333,1.56444,1.96667,4.69231,10,6.08333,1.54889
open_space,1.3,-3.3,5.27602,1,0,8,0,2.96889,1.3,0.383333,10,5.9,3.2,2.1,1.1,1.1,1.3,4.8,10,7.52143,4.03111,2.96889,1.41778,1.13778,2.14889,6.55714
open_space,13.8,-4.8,5.95243,1,1,10.9,0,4.6,7.63429,0,5.9,4.9,4.6,5.1,10,10,10,6.3,6.06444,6.13556,4.72667,6.73243,10,10,10,7.63429
open_space,2.3,-10.2,4.86577,1,0,13.5,0,10,2.1,0.25,9.6,10,10,10,2.6,2.1,2.1,3.5,9.79091,10,10,10,4.45854,2.22444,2.54667,7.33778
open_space,13,-6.8,4.92373,1,0,16.9,0,6.9,10,0,8.1,6.7,6.9,6.6,6.7,10,10,10,8.92,7.01333,7.96889,6.91333,7.85676,10,10,10
open_space,18.5,-7.2,5.91696,1,1,4.6,0,3.3,1.78889,0.369444,1.2,1.3,3.3,7.7,10,10,3,1.3,1.22667,1.86889,6.47111,8.59091,10,10,5.08824,1.78889
open_space,6,-15.9,2.85774,1,1,9.9,0,3.8,7.42105,0,5.8,4,3.8,4.3,10,10,10,6.1,5.98222,5.14667,3.91556,6.1425,10,10,10,7.42105
open_space,8.6,-4,2.304,1,1,13.8,0,10,3.8,0,5.1,8.4,10,10,10,5.8,3.8,3.8,7.57556,8.87027,10,10,10,7.32632,4.39111,4.14667
open_space,5.8,-12.6,3.26414,1,1,12.8,0,7.2,6.00222,0,5.6,7.1,7.2,10,10,10,7.2,5.6,6.68,7.62,8.14103,10,10,10,8.38333,6.00222
open_space,8.3,-4.2,1.16964,1,1,12.5,0,8.1,6.0907,0,4,4.3,8.1,8.7,10,10,10,4.4,4.10222,5.98444,8.31556,9.3,10,10,10,6.0907
open_space,5.5,-13.5,1.03266,1,1,15.3,0,5.3,10,0,10,6.2,5.3,5.5,6.2,6.4,10,10,10,7.66296,5.50667,6.65556,6.44222,7.62105,10,10
